code_postal,tr002_type_batiment_id,annee_construction,surface_habitable,consommation_energie,nom_methode_dpe,tr001_modele_dpe_id,tr006_type_usage_id,description,tr004_type_energie_id,description.1,consommation_energie_finale,annee_DPE,coordonnees,ville
91700,Appartement,2003.0,23.0,418.99,3CL - DPE,1,1,Chauffage,2,Electricité,2441.26,2014,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
92000,Appartement,2007.0,18.16,393.29,3CL - DPE,1,1,Chauffage,2,Electricité,1677.39,2013,"48.8962161446, 2.2068493546",Nanterre
92120,Appartement,2015.0,77.65,68.88,FACTURE - DPE,11,1,Chauffage,3,Gaz,42502.0,2015,"48.8152695492, 2.31739229511",Montrouge
95130,Appartement,2014.0,59.59,58.89,TH_C_E,11,1,Chauffage,3,Gaz,1641.57,2014,"48.9926867479, 2.22747200568","Franconville, Le Plessis-Bouchard"
91120,Appartement,2015.0,57.3,69.3,TH_BCE,11,1,Chauffage,4,Autres énergies,2198.28,2016,"48.714670201, 2.22882062662",Palaiseau
75017,Appartement,2014.0,44.53,43.91,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,176137.0,2015,"48.8872660268, 2.30686780021","Paris 17, Paris"
75019,Appartement,2015.0,89.5,59.4,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,105617.0,2015,"48.8868704923, 2.38465309568","Paris, Paris 19"
92100,Appartement,2015.0,19.8,38.8,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,158012.0,2015,"48.8364966292, 2.23867632216",Boulogne-Billancourt
91700,Appartement,2015.0,58.5,54.39,FACTURE - DPE,11,1,Chauffage,3,Gaz,109562.0,2015,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
92130,Appartement,2013.0,54.7,24.78,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,61534.6,2013,"48.8232529299, 2.26429719337",Issy-les-Moulineaux
91700,Appartement,2008.0,60.0,228.56,3CL - DPE,1,1,Chauffage,2,Electricité,2583.08,2013,"48.6398858055, 2.34146847544","Villiers-sur-Orge, Sainte-Geneviève-des-Bois, Fleury-Mérogis"
94200,Appartement,2015.0,21.06,79.38,TH_C_E,11,1,Chauffage,4,Autres énergies,815.69,2015,"48.8126036229, 2.38769451134",Ivry-sur-Seine
95000,Appartement,2014.0,65.11,54.37,TH_C_E,11,1,Chauffage,4,Autres énergies,1888.93,2014,"49.0378977963, 2.06061895699","Pontoise, Boisemont, Cergy, Neuville-sur-Oise"
93200,Appartement,2006.0,66.14,302.0,Méthode 3CL,9,1,Chauffage,2,Electricité,5348.14,2015,"48.9296140653, 2.35920270384",Saint-Denis
93100,Appartement,2014.0,34.2,67.32,TH_C_E,11,1,Chauffage,3,Gaz,1061.41,2014,"48.8631150275, 2.44833244212",Montreuil
75017,Appartement,2014.0,29.8,48.87,FACTURE - DPE,11,1,Chauffage,4,Autres énergies,176137.0,2015,"48.8872660268, 2.30686780021","Paris 17, Paris"
93400,Appartement,2015.0,59.3,39.27,FACTURE - DPE,11,1,Chauffage,3,Gaz,51596.0,2015,"48.9096159679, 2.33315490092",Saint-Ouen
92000,Appartement,2015.0,107.13,59.03,FACTURE - DPE,11,1,Chauffage,3,Gaz,63401.0,2015,"48.8962161446, 2.2068493546",Nanterre
